rank,coin_id,coin_name,symbol,peak_price,peak_date,current_price,current_date,pct_change,market_cap,volume
1,OM,OM,OM,8.4984,2025-02-23,0.0612,2026-02-16,-99.28,0.0,25553670.7
2,CHESS,CHESS,CHESS,0.2094,2025-01-03,0.00281,2026-02-13,-98.66,0.0,46896814.4
3,SAGA,SAGA,SAGA,1.6773,2025-01-17,0.0364,2026-02-16,-97.83,0.0,11579796.7
4,MOVE,MOVE,MOVE,1.1083,2025-01-05,0.025,2026-02-16,-97.74,0.0,45983358.3
5,AIXBT,AIXBT,AIXBT,0.8739,2025-01-15,0.0208,2026-02-16,-97.62,0.0,6211805.4
6,IO,IO,IO,3.911,2025-01-05,0.108,2026-02-16,-97.24,0.0,909378.33
7,BIO,BIO,BIO,0.8144,2025-01-03,0.0242,2026-02-16,-97.03,0.0,6181702.4
8,ME,ME,ME,3.451,2025-01-05,0.137,2026-02-16,-96.03,0.0,2083297.52
9,XAI,XAI,XAI,0.2674,2025-01-03,0.01067,2026-02-16,-96.01,0.0,7265213.5
10,ACT,ACT,ACT,0.3678,2025-01-05,0.0158,2026-02-16,-95.7,0.0,11601326.7
11,EIGEN,EIGEN,EIGEN,4.119,2025-01-05,0.207,2026-02-16,-94.97,0.0,803727.13
12,MMT,MMT,MMT,2.64,2025-11-04,0.1333,2026-02-16,-94.95,0.0,3828040.4
13,GLMR,GLMR,GLMR,0.2722,2025-01-03,0.0139,2026-02-16,-94.89,0.0,4065454.4
14,FORM,FORM,FORM,4.0939,2025-08-09,0.217,2026-02-16,-94.7,0.0,292761.1
15,S,S,S,0.8665,2025-02-20,0.04771,2026-02-16,-94.49,0.0,5273250.2
16,FUN,FUN,FUN,0.022933,2025-07-14,0.001302,2026-02-16,-94.32,0.0,73911743.0
17,XPL,XPL,XPL,1.629,2025-09-27,0.0967,2026-02-16,-94.06,0.0,5983711.9
18,HEMI,HEMI,HEMI,0.1719,2025-09-24,0.01025,2026-02-16,-94.04,0.0,6610804.3
19,TIA,TIA,TIA,5.565,2025-01-04,0.3404,2026-02-16,-93.88,0.0,665646.2
20,BOME,BOME,BOME,0.007027,2025-01-03,0.000435,2026-02-16,-93.81,0.0,163979019.0
21,W,W,W,0.3182,2025-01-03,0.0202,2026-02-16,-93.65,0.0,6513114.1
22,MIRA,MIRA,MIRA,1.4481,2025-09-26,0.0946,2026-02-16,-93.47,0.0,2089106.3
23,DYDX,DYDX,DYDX,1.6383,2025-01-06,0.1073,2026-02-16,-93.45,0.0,592458.36
24,PNUT,PNUT,PNUT,0.7597,2025-01-03,0.0501,2026-02-16,-93.41,0.0,2586357.4
25,NEIRO,NEIRO,NEIRO,0.00114788,2025-01-03,7.6e-05,2026-02-16,-93.38,0.0,2092856596.0
26,ARKM,ARKM,ARKM,1.7,2025-01-06,0.118,2026-02-16,-93.06,0.0,767121.9
27,VOXEL,VOXEL,VOXEL,0.2007,2025-01-05,0.014,2025-12-17,-93.02,0.0,6022438.5
28,BERA,BERA,BERA,8.807,2025-02-20,0.638,2026-02-16,-92.76,0.0,700841.397
29,ACE,ACE,ACE,2.267,2025-01-04,0.167,2026-02-16,-92.63,0.0,252378.5
30,YGG,YGG,YGG,0.5493,2025-01-04,0.0409,2026-02-16,-92.55,0.0,2880680.9
31,TRUMP,TRUMP,TRUMP,46.5,2025-01-19,3.519,2026-02-16,-92.43,0.0,1954038.128
32,RAY,RAY,RAY,8.104,2025-01-23,0.619,2026-02-16,-92.36,0.0,65109.2
33,RUNE,RUNE,RUNE,5.166,2025-01-04,0.406,2026-02-16,-92.14,0.0,333950.1
34,BEAMX,BEAMX,BEAMX,0.02962,2025-01-03,0.002392,2026-02-16,-91.92,0.0,352813133.0
35,AXL,AXL,AXL,0.7521,2025-01-06,0.061,2026-02-16,-91.89,0.0,610409.71
36,INIT,INIT,INIT,1.3378,2025-05-13,0.1086,2026-02-16,-91.88,0.0,12897188.7
37,NIL,NIL,NIL,0.727,2025-03-24,0.059,2026-02-16,-91.88,0.0,3007362.4
38,SUPER,SUPER,SUPER,1.6271,2025-01-03,0.1344,2026-02-16,-91.74,0.0,18713427.0
39,EDEN,EDEN,EDEN,0.4005,2025-09-30,0.0334,2026-02-16,-91.66,0.0,1480566.0
40,MANTA,MANTA,MANTA,0.957,2025-01-04,0.0804,2026-02-16,-91.6,0.0,2437462.6
41,ALICE,ALICE,ALICE,1.306,2025-01-06,0.112,2026-02-16,-91.42,0.0,289511.24
42,OP,OP,OP,2.11,2025-01-06,0.1884,2026-02-16,-91.07,0.0,1068091.92
43,APT,APT,APT,10.17,2025-01-06,0.931,2026-02-16,-90.85,0.0,395642.58
44,STRK,STRK,STRK,0.5253,2025-01-04,0.0489,2026-02-16,-90.69,0.0,4118386.93
45,FTT,FTT,FTT,3.8684,2025-01-02,0.3602,2026-02-16,-90.69,0.0,236289.43
46,GALA,GALA,GALA,0.04343,2025-01-03,0.00407,2026-02-16,-90.63,0.0,19609687.0
47,ORDI,ORDI,ORDI,29.59,2025-01-06,2.791,2026-02-16,-90.57,0.0,26795.2
48,APE,APE,APE,1.374,2025-01-03,0.1309,2026-02-16,-90.47,0.0,297546.04
49,ENA,ENA,ENA,1.2626,2025-01-05,0.1204,2026-02-16,-90.46,0.0,5035938.65
50,TNSR,TNSR,TNSR,0.5249,2025-03-02,0.0505,2026-02-16,-90.38,0.0,3095403.1
